Order ID	Order Date	Order Priority	Order Quantity	Sales	Unit Price	Ship Mode	Shipping Cost	Province	Customer Segment	Product Category	Product Sub-Category	Product Container	Ship Date
2277	01/01/2011	Not Specified	21	845.32	40.25	Regular Air	19.99	Nunavut	Home Office	Office Supplies	Paper	Small Box	01/03/2011
52640	01/01/2011	Medium	18	1163.75	64.65	Express Air	19.99	Manitoba	Consumer	Office Supplies	Binders and Binder Accessories	Small Box	01/04/2011
17058	01/01/2011	High	15	72.67	4.84	Regular Air	6.72	Manitoba	Home Office	Office Supplies	Paper	Small Box	01/02/2011
16262	01/01/2011	Low	11	62.84	5.71	Express Air	2.04	Manitoba	Consumer	Office Supplies	Paper	Wrap Bag	01/08/2011
2277	01/01/2011	Not Specified	10	66.54	6.65	Regular Air	4.38	Nunavut	Home Office	Technology	Computer Peripherals	Small Pack	01/02/2011
24160	02/01/2011	Medium	44	3,644,596	82831.73	Regular Air	4.9	Saskachewan	Home Office	Technology	Telephones and Communication	Small Box	02/02/2011
55075	02/01/2011	Critical	21	556.45	26.50	Delivery Truck	14.36	Nova Scotia	Home Office	Furniture	Chairs & Chairmats	Jumbo Drum	02/04/2011
6791	02/01/2011	Medium	14	730.33	52.17	Express Air	10.17	Alberta	Small Business	Technology	Office Machines	Medium Box	02/03/2011
31140	02/01/2011	Critical	4	13.42	3.36	Regular Air	0.99	Saskachewan	Home Office	Office Supplies	Labels	Small Box	02/02/2011
21956	02/01/2011	High	2	125,273	62636.50	Regular Air	8.99	Manitoba	Consumer	Technology	Telephones and Communication	Small Box	02/03/2011
12868	03/01/2011	Critical	31	53.33	1.72	Regular Air	0.7	Quebec	Consumer	Office Supplies	Pens & Art Supplies	Wrap Bag	03/02/2011
928	03/01/2011	Low	26	390.2	15.01	Express Air	7.4	British Columbia	Consumer	Furniture	Office Furnishings	Small Box	03/03/2011
5188	03/01/2011	Not Specified	24	192.8	8.03	Regular Air	2.87	Yukon	Small Business	Office Supplies	Paper	Wrap Bag	03/04/2011
928	03/01/2011	Low	21	1222.68	58.22	Express Air	3.99	British Columbia	Consumer	Office Supplies	Appliances	Small Box	03/06/2011
12194	03/01/2011	Critical	19	3,355,154	176587.05	Regular Air	3.99	Saskachewan	Corporate	Technology	Telephones and Communication	Small Box	03/02/2011
12868	03/01/2011	Critical	2	9.37	4.69	Regular Air	1.22	Newfoundland	Consumer	Office Supplies	Paper	Wrap Bag	03/03/2011
37380	04/01/2011	Critical	47	507.18	10.79	Regular Air	4.78	British Columbia	Home Office	Office Supplies	Paper	Small Box	04/02/2011
37380	04/01/2011	Critical	42	151.19	3.60	Regular Air	1.43	British Columbia	Home Office	Office Supplies	Rubber Bands	Wrap Bag	04/02/2011
58342	04/01/2011	High	40	1718.87	42.97	Regular Air	1.99	Manitoba	Consumer	Technology	Computer Peripherals	Small Pack	04/01/2011
37380	04/01/2011	Critical	29	737.38	25.43	Regular Air	5.3	British Columbia	Home Office	Furniture	Chairs & Chairmats	Medium Box	04/02/2011
7878	05/01/2011	Critical	50	3904.12	78.08	Delivery Truck	55.81	Manitoba	Corporate	Furniture	Bookcases	Jumbo Box	05/06/2011
7878	05/01/2011	Low	42	256.64	6.11	Regular Air	3.37	Manitoba	Corporate	Office Supplies	Rubber Bands	Wrap Bag	05/08/2011
7878	05/01/2011	Critical	41	343.64	8.38	Regular Air	3.44	Manitoba	Corporate	Furniture	Office Furnishings	Small Pack	05/03/2011
56834	05/01/2011	High	33	205.52	6.23	Regular Air	7.03	Alberta	Corporate	Office Supplies	Paper	Small Box	05/02/2011
2311	05/01/2011	High	31	1324.09	42.71	Regular Air	18.98	British Columbia	Home Office	Furniture	Office Furnishings	Small Box	05/02/2011
42979	05/01/2011	Not Specified	29	2770.79	95.54	Delivery Truck	30	Saskachewan	Corporate	Furniture	Chairs & Chairmats	Jumbo Drum	05/03/2011
56834	05/01/2011	High	22	1900.47	86.39	Delivery Truck	30.06	Alberta	Corporate	Technology	Office Machines	Jumbo Box	05/03/2011
6755	05/01/2011	High	20	156.47	7.82	Regular Air	6.05	Ontario	Home Office	Office Supplies	Binders and Binder Accessories	Small Box	05/03/2011
30848	05/01/2011	Medium	13	4324.29	332.64	Delivery Truck	40.19	Yukon	Corporate	Furniture	Tables	Jumbo Box	05/03/2011
57059	06/01/2011	Medium	50	212.12	4.24	Regular Air	5.26	New Brunswick	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	06/03/2011
51650	06/01/2011	High	43	10854.83	252.44	Delivery Truck	28.06	Manitoba	Consumer	Technology	Office Machines	Jumbo Drum	06/03/2011
57059	06/01/2011	Medium	25	2455.54	98.22	Regular Air	0.49	New Brunswick	Corporate	Office Supplies	Labels	Small Box	06/03/2011
51650	06/01/2011	High	25	470.11	18.80	Regular Air	5.97	Manitoba	Consumer	Office Supplies	Paper	Small Box	06/03/2011
49349	06/01/2011	High	23	1642.47	71.41	Delivery Truck	60	Ontario	Home Office	Office Supplies	Appliances	Jumbo Drum	06/03/2011
51650	06/01/2011	High	19	51.23	2.70	Regular Air	0.96	Manitoba	Consumer	Office Supplies	Pens & Art Supplies	Wrap Bag	06/03/2011
49349	06/01/2011	High	11	123.34	11.21	Regular Air	5.01	Ontario	Home Office	Office Supplies	Paper	Small Box	06/01/2011
6918	07/01/2011	Critical	38	1559.5	41.04	Regular Air	1.99	Ontario	Consumer	Technology	Computer Peripherals	Small Pack	07/03/2011
30566	07/01/2011	Low	34	225.45	6.63	Regular Air	9.54	British Columbia	Small Business	Office Supplies	Paper	Small Box	07/03/2011
58433	07/01/2011	High	30	1533.46	51.12	Regular Air	5.79	British Columbia	Home Office	Office Supplies	Paper	Small Box	07/03/2011
58433	07/01/2011	High	20	5,989,048	299452.40	Delivery Truck	42.52	British Columbia	Home Office	Furniture	Tables	Jumbo Box	07/03/2011
58433	07/01/2011	High	11	2020.58	183.69	Delivery Truck	30	British Columbia	Home Office	Furniture	Chairs & Chairmats	Jumbo Drum	07/02/2011
610	08/01/2011	Critical	38	283.65	7.46	Express Air	5.41	Manitoba	Home Office	Office Supplies	Paper	Small Box	08/03/2011
25633	08/01/2011	Low	36	5140.08	142.78	Delivery Truck	51.92	British Columbia	Home Office	Furniture	Tables	Jumbo Box	08/06/2011
51906	09/01/2011	High	24	206.34	8.60	Regular Air	3.62	British Columbia	Home Office	Technology	Computer Peripherals	Small Pack	09/02/2011
34112	09/01/2011	Critical	13	315,792	24291.69	Regular Air	8.59	Saskachewan	Small Business	Technology	Telephones and Communication	Medium Box	09/03/2011
49760	10/01/2011	Medium	38	710.33	18.69	Express Air	9.03	Saskachewan	Home Office	Office Supplies	Paper	Small Box	10/03/2011
16582	10/01/2011	Critical	26	6,766,856	260263.69	Delivery Truck	43.57	Quebec	Home Office	Furniture	Tables	Jumbo Box	10/03/2011
56006	10/01/2011	Critical	20	1,429,088	71454.40	Regular Air	1.25	British Columbia	Small Business	Technology	Telephones and Communication	Small Pack	10/03/2011
56006	10/01/2011	Critical	16	102.99	6.44	Regular Air	9.68	British Columbia	Small Business	Office Supplies	Paper	Small Box	10/01/2011
49760	10/01/2011	Medium	13	12,811,795	985522.69	Regular Air	5.92	Saskachewan	Home Office	Technology	Telephones and Communication	Small Box	10/03/2011
49760	10/01/2011	Medium	3	44.84	14.95	Regular Air	5.3	Saskachewan	Home Office	Furniture	Office Furnishings	Wrap Bag	10/02/2011
52162	11/01/2011	Not Specified	47	155.22	3.30	Regular Air	1.35	Ontario	Home Office	Furniture	Chairs & Chairmats	Jumbo Drum	11/02/2011
54368	11/01/2011	Not Specified	43	1,680,977	39092.49	Regular Air	4.99	Quebec	Small Business	Technology	Telephones and Communication	Small Box	11/02/2011
55425	11/01/2011	Critical	42	43,738,535	1041393.69	Express Air	7.69	Newfoundland	Corporate	Technology	Telephones and Communication	Small Box	11/02/2011
52162	11/01/2011	Not Specified	39	261.16	6.70	Regular Air	9.68	Ontario	Home Office	Furniture	Bookcases	Jumbo Box	11/01/2011
5281	11/01/2011	High	36	4733.7	131.49	Delivery Truck	30	Manitoba	Consumer	Furniture	Chairs & Chairmats	Jumbo Drum	11/02/2011
54368	11/01/2011	Not Specified	31	233.2	7.52	Regular Air	5.83	Quebec	Small Business	Office Supplies	Paper	Wrap Bag	11/03/2011
